From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:0,Non A/c,10:50:00 PM,05:50:00 AM
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:35,Non A/c,08:30:00 PM,04:05:00 AM
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:5,Volvo  A/c,08:25:00 PM,03:30:00 AM
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:35,Non A/c,07:30:00 PM,03:05:00 AM
Dhamnod,Shirdi,RTS Royal Star-,322,0:7:6,Non A/c,09:00:00 PM,04:06:00 AM
Dhamnod,Shirdi,RTS Royal Star-WITH INDIVISUAL LCD,322,0:7:6,A/c,08:12:00 PM,03:18:00 AM
Dhamnod,Shirdi,Hans Travels Indore-NON STOP,322,0:6:25,Volvo  A/c,11:25:00 PM,05:50:00 AM
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:35,A/c,10:15:00 PM,05:50:00 AM
Dhamnod,Shirdi,Hans Travels Indore-,322,0:7:35,A/c,11:20:00 PM,06:55:00 AM
Coimbatore,Adoor,A1 Travels,308,0:8:30,2+2 Push Back Seater,09:30:00 PM,06:00:00 AM
Coimbatore,Chitradurga,SRE Travels,473,0:11:50,"2+2, Hitech Push Back, Non-AC,",10:00:00 PM,12:00:00 PM
Coimbatore,Puthuchery,Kallada Travels,383,0:9:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:15:00 PM,07:50:00 AM
Coimbatore,Salakudi,Universal Travels,140,0:3:30,MultiAxle-B9RVOLVO,04:25:00 AM,07:55:00 AM
Coimbatore,Kollam,No1Air  Travels,328,0:8:0,"2+2, Semi Sleeper, Non-AC",09:00:00 PM,05:00:00 AM
Coimbatore,Kollam,CITY TRAVELS,328,0:8:12,Executive Semi Sleeper,10:00:00 PM,06:12:00 AM
Coimbatore,Kollam,SRM Transports India Private Limited,328,0:8:12,Semi Sleeper-A/C,09:30:00 PM,05:42:00 AM
Coimbatore,Kollam,A1 Travels,328,0:8:0,2+2 HI-TECH Non A/c,10:30:00 PM,06:30:00 AM
Coimbatore,Kollam,A1 Travels,328,0:7:30,2+2 HI-TECH Non A/c,09:30:00 PM,05:00:00 AM
Coimbatore,Kollam,Supaa Travels,328,0:8:12,2+2 Semi Sleeper A/C,09:15:00 PM,05:27:00 AM
Coimbatore,Kollam,Kallada Travels,328,0:8:12,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:30:00 PM,05:42:00 AM
Coimbatore,Kollam,A1 Travels,328,0:8:0,A/c Sleeper cum Seater,09:00:00 PM,05:00:00 AM
Coimbatore,Kollam,No1Air  Travels,328,0:7:30,"2+1, Executive AirBus, Non-AC",10:30:00 PM,06:00:00 AM
Coimbatore,Neyveli,Universal Travels,199,0:4:59,UniversalSeat+Sleeper(43),10:45:00 PM,03:44:00 AM
Coimbatore,Neyveli,KPN Travels,199,0:8:0,2+1 : 31 A/C S.S,09:00:00 PM,05:00:00 AM
Coimbatore,Alleppey,SRM Transports India Private Limited,239,0:5:59,Semi Sleeper-A/C,09:30:00 PM,03:29:00 AM
Coimbatore,Alleppey,Supaa Travels,239,0:5:59,2+2 Semi Sleeper A/C,09:15:00 PM,03:14:00 AM
Coimbatore,Alleppey,CITY TRAVELS,239,0:5:59,Executive Semi Sleeper,10:00:00 PM,03:59:00 AM
Coimbatore,Alleppey,No1Air  Travels,239,0:5:30,"2+2, Semi Sleeper, Non-AC",09:00:00 PM,02:30:00 AM
Coimbatore,Alleppey,A1 Travels,239,0:5:59,2+2 HI-TECH Non A/c,09:30:00 PM,03:29:00 AM
Coimbatore,Alleppey,A1 Travels,239,0:5:45,2+2 Push Back Seater,01:45:00 PM,07:30:00 PM
Coimbatore,Alleppey,A1 Travels,239,0:6:30,2+2 HI-TECH Non A/c,10:30:00 PM,05:00:00 AM
Coimbatore,Alleppey,Kallada Travels,239,0:5:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:30:00 PM,03:29:00 AM
Coimbatore,Alleppey,A1 Travels,239,0:6:45,A/c Sleeper cum Seater,09:00:00 PM,03:45:00 AM
Coimbatore,Alleppey,No1Air  Travels,239,0:6:15,"2+1, Executive AirBus, Non-AC",10:30:00 PM,04:45:00 AM
Coimbatore,Hosur,KPN Travels,290,0:7:15,2+1 : NON A/C S.S 31,10:00:00 PM,05:15:00 AM
Coimbatore,Hosur,KPN Travels,230,0:5:45,BERTH SLEEPER A/C : 29,10:45:00 PM,04:30:00 AM
Coimbatore,Hosur,KPN Travels,260,0:6:30,BERTH SLEEPER A/C : 29,10:30:00 PM,05:00:00 AM
Coimbatore,Hosur,Sachin Travels,280,0:7:0,"2+1, Semi Sleeper, Non-AC, Video",10:00:00 PM,05:00:00 AM
Coimbatore,Hosur,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:45:00 PM,06:23:00 PM
Coimbatore,Hosur,Kallada Travels,208,0:5:12,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 AM,11:12:00 AM
Coimbatore,Hosur,KPN Travels,260,0:6:30,2+2 VOLVO A/C(MULTI AXLE) : 44,01:30:00 PM,08:00:00 PM
Coimbatore,Hosur,KPN Travels,250,0:6:15,2+2 VOLVO A/C(MULTI AXLE) : 44,11:30:00 PM,05:45:00 AM
Coimbatore,Hosur,KPN Travels,230,0:5:45,2+2 VOLVO A/C(MULTI AXLE) : 44,11:00:00 PM,04:45:00 AM
Coimbatore,Hosur,KPN Travels,340,0:8:30,2+2 S.S NON A/C : 31,10:15:00 PM,06:45:00 AM
Coimbatore,Hosur,A1 Travels,250,0:6:15,2+1 Non A/c Sleeper cum Semi Sleeper,09:45:00 PM,04:00:00 AM
Coimbatore,Hosur,Kings Travels,280,0:7:0,"2+1, Sleeper/Seater, Non-AC",09:45:00 PM,04:45:00 AM
Coimbatore,Cumbum,Supaa Travels,252,0:6:18,2+2 Hitech Air Bus Non A/C,11:00:00 PM,05:18:00 AM
Coimbatore,Singampuneri,Essaar,211,0:5:15,2+2 Hi Tech Air Bus,09:45:00 PM,03:00:00 AM
Coimbatore,Calicut,CITY TRAVELS,186,0:4:39,Semi Sleeper,11:30:00 PM,04:09:00 AM
Coimbatore,Veerasigamani,India Travel Service,340,0:8:30,2+2 Hitech Air Bus Non/AC,09:45:00 PM,06:15:00 AM
Coimbatore,Pudukkottai,Essaar,270,0:6:45,2+2 Hi Tech Air Bus,10:45:00 PM,05:30:00 AM
Coimbatore,Pudukkottai,Essaar,270,0:6:0,2+2 Hi Tech Air Bus,10:00:00 PM,04:00:00 AM
Coimbatore,Pudukkottai,Essaar,270,0:5:0,2+2 HI -Tech A/C,10:30:00 PM,03:30:00 AM
Coimbatore,Pudukkottai,ABT X Travels,270,0:6:45,2+2 A/c,10:45:00 PM,05:30:00 AM
Coimbatore,Pudukkottai,CITY TRAVELS,270,0:6:45,Semi Sleeper-A/C,11:00:00 PM,05:45:00 AM
Coimbatore,Tanjore,ABT X Travels,266,0:6:39,2+2 A/c,10:15:00 PM,04:54:00 AM
Coimbatore,Tanjore,Universal Travels,266,0:6:39,UniversalSeat+Sleeper(43),09:45:00 PM,04:24:00 AM
Coimbatore,Tanjore,Universal Travels,266,0:6:39,MultiAxle-B9RVOLVO,10:15:00 PM,04:54:00 AM
Coimbatore,Chalakudy,Kallada Travels,140,0:3:30,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:50:00 PM,06:20:00 PM
Coimbatore,Dharmapuri,Kallada Travels,234,0:5:51,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:45:00 PM,07:36:00 PM
Coimbatore,Dharmapuri,Kallada Travels,234,0:5:51,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 AM,11:51:00 AM
Coimbatore,Cuddlore,Universal Travels,369,0:9:14,MultiAxle-B9RVOLVO,10:15:00 PM,07:29:00 AM
Coimbatore,Cuddlore,Universal Travels,369,0:9:14,UniversalSeat+Sleeper(43),10:45:00 PM,07:59:00 AM
Coimbatore,Cuddlore,KPN Travels,369,0:9:0,2+1 : 31 A/C S.S,09:00:00 PM,06:00:00 AM
Coimbatore,Muvattupuzha,A1 Travels,189,0:5:45,2+2 HI-TECH Non A/c,10:00:00 PM,03:45:00 AM
Coimbatore,Bangalore,CITY TRAVELS,371,0:9:17,Executive Semi Sleeper,10:00:00 PM,07:17:00 AM
Coimbatore,Bangalore,A1 Travels,371,0:7:15,2+1 A/c Sleeper,10:30:00 PM,05:45:00 AM
Coimbatore,Bangalore,KPN Travels,371,0:7:15,2+2 VOLVO A/C(MULTI AXLE) : 44,11:30:00 PM,06:45:00 AM
Coimbatore,Bangalore,Olivea (Business Class),371,0:6:0,AC,04:15:00 PM,10:15:00 PM
Coimbatore,Bangalore,KPN Travels,371,0:8:30,2+1 : NON A/C S.S 31,10:00:00 PM,06:30:00 AM
Coimbatore,Bangalore,Sachin Travels,371,0:8:0,"2+1, Semi Sleeper, Non-AC, Video",10:00:00 PM,06:00:00 AM
Coimbatore,Bangalore,No1Air  Travels,371,0:7:30,"1+2, Sleeper/Seater, Non-AC",10:30:00 PM,06:00:00 AM
Coimbatore,Bangalore,Kallada Travels,371,0:9:17,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:45:00 PM,11:02:00 PM
Coimbatore,Bangalore,A1 Travels,371,0:8:15,2+1 Non A/c Sleeper cum Semi Sleeper,09:45:00 PM,06:00:00 AM
Coimbatore,Bangalore,Sharma Transports,371,0:9:17,Seater,10:00:00 PM,07:17:00 AM
Coimbatore,Bangalore,Kings Travels,371,0:8:5,"2+1, Sleeper/Seater, Non-AC",09:25:00 PM,05:30:00 AM
Coimbatore,Bangalore,KPN Travels,371,0:9:15,2+2 S.S NON A/C : 31,10:15:00 PM,07:30:00 AM
Coimbatore,Bangalore,Kallada Travels,371,0:9:17,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 AM,03:17:00 PM
Coimbatore,Bangalore,Srs Travels (SRS Travels),371,0:5:45,"2+1, Sleeper, AC, Non-Video",11:00:00 PM,04:45:00 AM
Coimbatore,Bangalore,Kallada Travels,371,0:9:17,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:30:00 PM,08:47:00 AM
Coimbatore,Bangalore,SRM Transports India Private Limited,371,0:9:17,Sleeper,10:30:00 PM,07:47:00 AM
Coimbatore,Bangalore,SRE Travels,371,0:7:0,"2+2, Hitech Push Back, Non-AC,",10:00:00 PM,05:00:00 AM
Coimbatore,Bangalore,Srs Travels (SRS Travels),371,0:6:0,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,04:30:00 AM
Coimbatore,Bangalore,KPN Travels,371,0:6:30,2+2 VOLVO A/C(MULTI AXLE) : 44,07:30:00 AM,02:00:00 PM
Coimbatore,Chenkalpet,Kallada Travels,453,0:11:20,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:45:00 PM,10:05:00 AM
Coimbatore,Thiruvadanai,Essaar,311,0:7:45,2+2 Hi Tech Air Bus,09:45:00 PM,05:30:00 AM
Coimbatore,Periyakulam,Supaa Travels,197,0:4:56,2+2 Hitech Air Bus Non A/C,11:00:00 PM,03:56:00 AM
Coimbatore,Konni,A1 Travels,315,0:8:30,2+2 HI-TECH Non A/c,10:00:00 PM,06:30:00 AM
Coimbatore,Sirkazhi,Universal Travels,375,0:9:23,MultiAxle-B9RVOLVO,10:15:00 PM,07:38:00 AM
Coimbatore,Kodakara,Kallada Travels,162,0:4:3,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:50:00 PM,06:53:00 PM
Coimbatore,Kottayam,A1 Travels,250,0:6:0,2+2 HI-TECH Non A/c,10:00:00 PM,04:00:00 AM
Coimbatore,Kottayam,CITY TRAVELS,250,0:6:15,Semi Sleeper,10:30:00 PM,04:45:00 AM
Coimbatore,Kottayam,A1 Travels,250,0:7:0,2+2 Push Back Seater,09:30:00 PM,04:30:00 AM
Coimbatore,Pondicherry,CITY TRAVELS,383,0:9:35,Seat / Sleeper,10:30:00 PM,08:05:00 AM
Coimbatore,Pondicherry,Universal Travels,383,0:9:35,UniversalSeat+Sleeper(43),10:45:00 PM,08:20:00 AM
Coimbatore,Pondicherry,Universal Travels,383,0:9:35,MultiAxle-B9RVOLVO,10:15:00 PM,07:50:00 AM
Coimbatore,Pondicherry,Sharma Transports,383,0:9:35,Seat / Sleeper,10:15:00 PM,07:50:00 AM
Coimbatore,Pondicherry,KPN Travels,383,0:9:0,BERTH SLEEPER A/C : 29,10:00:00 PM,07:00:00 AM
Coimbatore,Pondicherry,KPN Travels,383,0:9:0,2+2 : 33 S.S NON A/C,09:30:00 PM,06:30:00 AM
Coimbatore,Pondicherry,Kallada Travels,383,0:9:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:15:00 PM,07:50:00 AM
Coimbatore,Pondicherry,KPN Travels,383,0:10:15,2+1 : 31 A/C S.S,09:00:00 PM,07:15:00 AM
Coimbatore,Mayiladuthurai,CITY TRAVELS,324,0:8:6,Semi Sleeper,10:30:00 PM,06:36:00 AM
Coimbatore,Thiruvarur,Universal Travels,326,0:8:9,MultiAxle-B9RVOLVO,10:15:00 PM,06:24:00 AM
Coimbatore,Thiruvarur,Universal Travels,326,0:8:9,UniversalSeat+Sleeper(43),09:45:00 PM,05:54:00 AM
Coimbatore,Angamaly,A1 Travels,152,0:5:0,2+2 HI-TECH Non A/c,10:00:00 PM,03:00:00 AM
Coimbatore,Angamaly,Kallada Travels,152,0:3:48,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:50:00 PM,06:38:00 PM
Coimbatore,Angamaly,Supaa Travels,152,0:3:40,2+2 Classic A/C,02:20:00 PM,06:00:00 PM
Coimbatore,Angamaly,Supaa Travels,152,0:3:48,2+2 Hitech Air Bus Non A/C,05:10:00 PM,08:58:00 PM
Coimbatore,Angamaly,Supaa Travels,152,0:3:0,2+2 Classic A/C,07:00:00 AM,10:00:00 AM
Coimbatore,Angamaly,Universal Travels,152,0:3:48,MultiAxle-B9RVOLVO,04:25:00 AM,08:13:00 AM
Coimbatore,Angamaly,Supaa Travels,152,0:3:48,2+2 Hitech Air Bus Non A/C,10:45:00 PM,02:33:00 AM
Coimbatore,Nagapatnam,Universal Travels,351,0:8:47,MultiAxle-B9RVOLVO,10:15:00 PM,07:02:00 AM
Coimbatore,Nagapatnam,Universal Travels,351,0:8:47,UniversalSeat+Sleeper(43),09:45:00 PM,06:32:00 AM
Coimbatore,Theni,Supaa Travels,213,0:5:20,2+2 Hitech Air Bus Non A/C,11:00:00 PM,04:20:00 AM
Coimbatore,Thanjavur,CITY TRAVELS,266,0:6:39,Semi Sleeper,10:30:00 PM,05:09:00 AM
Coimbatore,Chengannur,CITY TRAVELS,283,0:7:5,Semi Sleeper,10:30:00 PM,05:35:00 AM
Coimbatore,Karunagapilly,CITY TRAVELS,299,0:7:29,Executive Semi Sleeper,10:00:00 PM,05:29:00 AM
Coimbatore,Thiruchendur,SRM Transports India Private Limited,395,0:9:53,Semi Sleeper-A/C,09:30:00 PM,07:23:00 AM
Coimbatore,Aranthangi,Essaar,303,0:7:30,2+2 Hi Tech Air Bus,10:00:00 PM,05:30:00 AM
Coimbatore,Perinthalmanna,CITY TRAVELS,117,0:2:56,Semi Sleeper,11:30:00 PM,02:26:00 AM
Coimbatore,Salem,Kallada Travels,175,0:4:23,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 AM,10:23:00 AM
Coimbatore,Salem,Kallada Travels,175,0:4:23,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:45:00 PM,06:08:00 PM
Coimbatore,Salem,CITY TRAVELS,175,0:4:23,Seat / Sleeper,10:30:00 PM,02:53:00 AM
Coimbatore,Virudunagar,India Travel Service,253,0:5:45,2+2 Hitech Air Bus Non/AC,09:45:00 PM,03:30:00 AM
Coimbatore,Karaikudi,ABT X Travels,257,0:6:26,2+2 A/c,10:45:00 PM,05:11:00 AM
Coimbatore,Karaikudi,Essaar,257,0:6:15,2+2 Hi Tech Air Bus,09:45:00 PM,04:00:00 AM
Coimbatore,Karaikudi,CITY TRAVELS,257,0:6:26,Semi Sleeper-A/C,11:00:00 PM,05:26:00 AM
Coimbatore,Karaikudi,Essaar,257,0:6:30,2+2 HI -Tech A/C,10:30:00 PM,05:00:00 AM
Coimbatore,Karaikudi,Essaar,257,0:5:40,2+2 Hi Tech Air Bus,10:45:00 PM,04:25:00 AM
Coimbatore,Udangudi,SRM Transports India Private Limited,414,0:10:21,Semi Sleeper-A/C,09:30:00 PM,07:51:00 AM
Coimbatore,Anantapur,Kallada Travels,582,0:14:33,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:00:00 PM,07:33:00 AM
Coimbatore,Thiruvananthapuram,Kallada Travels,391,0:9:47,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:30:00 PM,07:17:00 AM
Coimbatore,Kodungallur,Kallada Travels,159,0:3:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:00:00 AM,08:59:00 AM
Coimbatore,Tindivanam,Kallada Travels,387,0:9:41,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:45:00 PM,08:26:00 AM
Coimbatore,Kovilpati,India Travel Service,304,0:7:0,2+2 Hitech Air Bus Non/AC,09:45:00 PM,04:45:00 AM
Coimbatore,Allappuzha,Kallada Travels,239,0:5:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:30:00 PM,03:29:00 AM
Coimbatore,Karaikal,KPN Travels,383,0:9:0,2+2 : 33 S.S NON A/C,10:00:00 PM,07:00:00 AM
